Region;Region name;Year;Symbol;Value;Label;Unit
RO;Romania;2001;TG;0.024870000000000003;Temporary grassland;Mha
RO;Romania;2002;C;9.120805;Cropland in use;Mha
RO;Romania;2002;Csum;9.120805;Crop area sum;Mha
RO;Romania;2002;Ctot;9.859;FAOSTAT cropland;Mha
RO;Romania;2002;PG;4.959;Permanent grassland;Mha
RO;Romania;2002;TG;0.024870000000000003;Temporary grassland;Mha
RO;Romania;2003;C;8.909036;Cropland in use;Mha
RO;Romania;2003;Csum;8.909036;Crop area sum;Mha
RO;Romania;2003;Ctot;9.842;FAOSTAT cropland;Mha
RO;Romania;2003;PG;4.958;Permanent grassland;Mha
RO;Romania;2003;TG;0.024870000000000003;Temporary grassland;Mha
RO;Romania;2004;C;8.853916000000002;Cropland in use;Mha
RO;Romania;2004;Csum;8.853916000000002;Crop area sum;Mha
RO;Romania;2004;Ctot;9.344;FAOSTAT cropland;Mha
RO;Romania;2004;PG;4.786;Permanent grassland;Mha
RO;Romania;2004;TG;0.024870000000000003;Temporary grassland;Mha
RO;Romania;2005;C;8.901443;Cropland in use;Mha
RO;Romania;2005;Csum;8.901443;Crop area sum;Mha
RO;Romania;2005;Ctot;9.495;FAOSTAT cropland;Mha
RO;Romania;2005;PG;4.685;Permanent grassland;Mha
RO;Romania;2005;TG;0.0174;Temporary grassland;Mha
RO;Romania;2006;C;8.314004000000002;Cropland in use;Mha
RO;Romania;2006;Csum;8.314004000000002;Crop area sum;Mha
RO;Romania;2006;Ctot;9.408;FAOSTAT cropland;Mha
RO;Romania;2006;PG;4.631;Permanent grassland;Mha
RO;Romania;2006;TG;0.00933;Temporary grassland;Mha
RO;Romania;2007;C;7.707825;Cropland in use;Mha
RO;Romania;2007;Csum;7.707825;Crop area sum;Mha
RO;Romania;2007;Ctot;9.136;FAOSTAT cropland;Mha
RO;Romania;2007;PG;4.494;Permanent grassland;Mha
RO;Romania;2007;TG;0.01289;Temporary grassland;Mha
RO;Romania;2008;C;8.253855999999999;Cropland in use;Mha
RO;Romania;2008;Csum;8.253855999999999;Crop area sum;Mha
RO;Romania;2008;Ctot;9.184;FAOSTAT cropland;Mha
RO;Romania;2008;PG;4.45;Permanent grassland;Mha
RO;Romania;2008;TG;0.00916;Temporary grassland;Mha
RO;Romania;2009;C;8.345246;Cropland in use;Mha
RO;Romania;2009;Csum;8.345246;Crop area sum;Mha
RO;Romania;2009;Ctot;9.249;FAOSTAT cropland;Mha
RO;Romania;2009;PG;4.372;Permanent grassland;Mha
RO;Romania;2009;TG;0.01262;Temporary grassland;Mha
RO;Romania;2010;C;8.247601;Cropland in use;Mha
RO;Romania;2010;Csum;8.247601;Crop area sum;Mha
RO;Romania;2010;Ctot;9.609;FAOSTAT cropland;Mha
RO;Romania;2010;PG;4.547;Permanent grassland;Mha
RO;Romania;2010;TG;0.020030000000000003;Temporary grassland;Mha
RO;Romania;2011;C;8.549479000000002;Cropland in use;Mha
RO;Romania;2011;Csum;8.549479000000002;Crop area sum;Mha
RO;Romania;2011;Ctot;9.439;FAOSTAT cropland;Mha
RO;Romania;2011;PG;4.543;Permanent grassland;Mha
RO;Romania;2011;TG;0.026010000000000002;Temporary grassland;Mha
RO;Romania;2012;C;8.52496;Cropland in use;Mha
RO;Romania;2012;Csum;8.52496;Crop area sum;Mha
RO;Romania;2012;Ctot;9.244;FAOSTAT cropland;Mha
RO;Romania;2012;PG;4.489;Permanent grassland;Mha
RO;Romania;2012;TG;0.02583;Temporary grassland;Mha
RO;Romania;2013;C;8.646872;Cropland in use;Mha
RO;Romania;2013;Csum;8.646872;Crop area sum;Mha
RO;Romania;2013;Ctot;9.188;FAOSTAT cropland;Mha
RO;Romania;2013;PG;4.717;Permanent grassland;Mha
RO;Romania;2013;TG;0.02634;Temporary grassland;Mha
RO;Romania;2014;C;8.692440000000001;Cropland in use;Mha
RO;Romania;2014;Csum;8.692440000000001;Crop area sum;Mha
RO;Romania;2014;Ctot;9.203;FAOSTAT cropland;Mha
RO;Romania;2014;PG;4.627;Permanent grassland;Mha
RO;Romania;2014;TG;0.02214;Temporary grassland;Mha
RO;Romania;2015;C;8.729201999999999;Cropland in use;Mha
RO;Romania;2015;Csum;8.729201999999999;Crop area sum;Mha
RO;Romania;2015;Ctot;9.203;FAOSTAT cropland;Mha
RO;Romania;2015;PG;4.655;Permanent grassland;Mha
RO;Romania;2015;TG;0.0275;Temporary grassland;Mha
RO;Romania;2016;C;8.863703;Cropland in use;Mha
RO;Romania;2016;Csum;8.863703;Crop area sum;Mha
RO;Romania;2016;Ctot;9.0;FAOSTAT cropland;Mha
RO;Romania;2016;PG;4.521;Permanent grassland;Mha
RO;Romania;2016;TG;0.020530000000000003;Temporary grassland;Mha
RO;Romania;2017;C;8.772236000000001;Cropland in use;Mha
RO;Romania;2017;Csum;8.772236000000001;Crop area sum;Mha
RO;Romania;2017;Ctot;8.958;FAOSTAT cropland;Mha
RO;Romania;2017;PG;4.42;Permanent grassland;Mha
RO;Romania;2017;TG;0.02137;Temporary grassland;Mha
RO;Romania;2018;C;8.78315;Cropland in use;Mha
RO;Romania;2018;Csum;8.78315;Crop area sum;Mha
RO;Romania;2018;Ctot;9.126;FAOSTAT cropland;Mha
RO;Romania;2018;PG;4.288;Permanent grassland;Mha
RO;Romania;2018;TG;0.02577;Temporary grassland;Mha
RO;Romania;2019;C;9.05963;Cropland in use;Mha
RO;Romania;2019;Csum;9.05963;Crop area sum;Mha
RO;Romania;2019;Ctot;9.126;FAOSTAT cropland;Mha
RO;Romania;2019;PG;4.288;Permanent grassland;Mha
RO;Romania;2019;TG;0.027690000000000003;Temporary grassland;Mha
SE;Sweden;1961;C;3.070743090821933;Cropland in use;Mha
SE;Sweden;1961;Csum;3.070743090821933;Crop area sum;Mha
SE;Sweden;1961;Ctot;3.553;FAOSTAT cropland;Mha
SE;Sweden;1961;PG;0.684;Permanent grassland;Mha
SE;Sweden;1961;TG;1.329466;Temporary grassland;Mha
SE;Sweden;1962;C;3.0427094281481057;Cropland in use;Mha
SE;Sweden;1962;Csum;3.0427094281481057;Crop area sum;Mha
SE;Sweden;1962;Ctot;3.488;FAOSTAT cropland;Mha
SE;Sweden;1962;PG;0.684;Permanent grassland;Mha
SE;Sweden;1962;TG;1.30735625;Temporary grassland;Mha
SE;Sweden;1963;C;3.0076440944872807;Cropland in use;Mha
SE;Sweden;1963;Csum;3.0076440944872807;Crop area sum;Mha
SE;Sweden;1963;Ctot;3.297;FAOSTAT cropland;Mha
SE;Sweden;1963;PG;0.684;Permanent grassland;Mha
SE;Sweden;1963;TG;1.2852465;Temporary grassland;Mha
SE;Sweden;1964;C;3.0009344904861504;Cropland in use;Mha
SE;Sweden;1964;Csum;3.0009344904861504;Crop area sum;Mha
SE;Sweden;1964;Ctot;3.259;FAOSTAT cropland;Mha
SE;Sweden;1964;PG;0.684;Permanent grassland;Mha
SE;Sweden;1964;TG;1.2631367500000001;Temporary grassland;Mha
SE;Sweden;1965;C;2.961123245508197;Cropland in use;Mha
SE;Sweden;1965;Csum;2.961123245508197;Crop area sum;Mha
SE;Sweden;1965;Ctot;3.165;FAOSTAT cropland;Mha
SE;Sweden;1965;PG;0.684;Permanent grassland;Mha
SE;Sweden;1965;TG;1.241027;Temporary grassland;Mha
SE;Sweden;1966;C;2.8731316154980218;Cropland in use;Mha
SE;Sweden;1966;Csum;2.8731316154980218;Crop area sum;Mha
SE;Sweden;1966;Ctot;3.113;FAOSTAT cropland;Mha
SE;Sweden;1966;PG;0.684;Permanent grassland;Mha
SE;Sweden;1966;TG;1.239049;Temporary grassland;Mha
SE;Sweden;1967;C;2.852655707477671;Cropland in use;Mha
SE;Sweden;1967;Csum;2.852655707477671;Crop area sum;Mha
SE;Sweden;1967;Ctot;3.1;FAOSTAT cropland;Mha
SE;Sweden;1967;PG;0.685;Permanent grassland;Mha
SE;Sweden;1967;TG;1.162442;Temporary grassland;Mha
SE;Sweden;1968;C;2.8303322263289994;Cropland in use;Mha
SE;Sweden;1968;Csum;2.8303322263289994;Crop area sum;Mha
SE;Sweden;1968;Ctot;3.031;FAOSTAT cropland;Mha
SE;Sweden;1968;PG;0.69;Permanent grassland;Mha
SE;Sweden;1968;TG;1.0880269999999999;Temporary grassland;Mha
SE;Sweden;1969;C;2.818875574032787;Cropland in use;Mha
SE;Sweden;1969;Csum;2.818875574032787;Crop area sum;Mha
SE;Sweden;1969;Ctot;3.055;FAOSTAT cropland;Mha
SE;Sweden;1969;PG;0.69;Permanent grassland;Mha
SE;Sweden;1969;TG;1.0484300000000002;Temporary grassland;Mha
SE;Sweden;1970;C;2.8486813427925384;Cropland in use;Mha
SE;Sweden;1970;Csum;2.8486813427925384;Crop area sum;Mha
SE;Sweden;1970;Ctot;3.053;FAOSTAT cropland;Mha
SE;Sweden;1970;PG;0.7;Permanent grassland;Mha
SE;Sweden;1970;TG;1.03133;Temporary grassland;Mha
SE;Sweden;1971;C;2.8343751111362354;Cropland in use;Mha
SE;Sweden;1971;Csum;2.8343751111362354;Crop area sum;Mha
SE;Sweden;1971;Ctot;3.051;FAOSTAT cropland;Mha
SE;Sweden;1971;PG;0.707;Permanent grassland;Mha
SE;Sweden;1971;TG;1.012892;Temporary grassland;Mha
SE;Sweden;1972;C;2.822825696099491;Cropland in use;Mha
SE;Sweden;1972;Csum;2.822825696099491;Crop area sum;Mha
SE;Sweden;1972;Ctot;3.031;FAOSTAT cropland;Mha
SE;Sweden;1972;PG;0.703;Permanent grassland;Mha
SE;Sweden;1972;TG;0.974826;Temporary grassland;Mha
SE;Sweden;1973;C;2.809927719615602;Cropland in use;Mha
SE;Sweden;1973;Csum;2.809927719615602;Crop area sum;Mha
SE;Sweden;1973;Ctot;3.018;FAOSTAT cropland;Mha
SE;Sweden;1973;PG;0.7;Permanent grassland;Mha
SE;Sweden;1973;TG;0.934516;Temporary grassland;Mha
SE;Sweden;1974;C;2.8341482014697563;Cropland in use;Mha
SE;Sweden;1974;Csum;2.8341482014697563;Crop area sum;Mha
SE;Sweden;1974;Ctot;3.019;FAOSTAT cropland;Mha
SE;Sweden;1974;PG;0.716;Permanent grassland;Mha
