,region,region_name,symbol,year,value,label,unit,confidence
298,AT1,East Austria,TG,2019,0.018870982236689,temporary grassland area,Mha,corrected (e)
299,AT1,East Austria,PG,2019,0.19337180138793864,permanent grassland area,Mha,EuropeAgri
300,AT2,Sud Austria,C_sum,1990,0.6938316438827721,crop area sum,Mha,calculated
301,AT2,Sud Austria,AL_sum,1990,0.22137068607783536,arable land area sum,Mha,calculated
302,AT2,Sud Austria,PC_sum,1990,0.0157205268617648,permanent crop area sum,Mha,calculated
303,AT2,Sud Austria,TG,1990,0.015460159314786,temporary grassland area,Mha,corrected (e)
304,AT2,Sud Austria,PG,1990,0.4567404309431719,permanent grassland area,Mha,EuropeAgri
305,AT2,Sud Austria,C_sum,1991,0.6940507668201945,crop area sum,Mha,calculated
306,AT2,Sud Austria,AL_sum,1991,0.22338762484338448,arable land area sum,Mha,calculated
307,AT2,Sud Austria,PC_sum,1991,0.0157269394789993,permanent crop area sum,Mha,calculated
308,AT2,Sud Austria,TG,1991,0.0203506178735449,temporary grassland area,Mha,corrected (e)
309,AT2,Sud Austria,PG,1991,0.45493620249781075,permanent grassland area,Mha,EuropeAgri
310,AT2,Sud Austria,C_sum,1992,0.7023190479184289,crop area sum,Mha,calculated
311,AT2,Sud Austria,AL_sum,1992,0.23375700339188998,arable land area sum,Mha,calculated
312,AT2,Sud Austria,PC_sum,1992,0.0153999999999999,permanent crop area sum,Mha,calculated
313,AT2,Sud Austria,TG,1992,0.0185758546868985,temporary grassland area,Mha,corrected (e)
314,AT2,Sud Austria,PG,1992,0.45316204452653897,permanent grassland area,Mha,EuropeAgri
315,AT2,Sud Austria,C_sum,1993,0.6945243465429617,crop area sum,Mha,calculated
316,AT2,Sud Austria,AL_sum,1993,0.22806653046178385,arable land area sum,Mha,calculated
317,AT2,Sud Austria,PC_sum,1993,0.015099999999999999,permanent crop area sum,Mha,calculated
318,AT2,Sud Austria,TG,1993,0.0121472680330461,temporary grassland area,Mha,corrected (e)
319,AT2,Sud Austria,PG,1993,0.4513578160811778,permanent grassland area,Mha,EuropeAgri
320,AT2,Sud Austria,C_sum,1994,0.6868002479666604,crop area sum,Mha,calculated
321,AT2,Sud Austria,AL_sum,1994,0.22211658985675428,arable land area sum,Mha,calculated
322,AT2,Sud Austria,PC_sum,1994,0.015099999999999999,permanent crop area sum,Mha,calculated
323,AT2,Sud Austria,TG,1994,0.0129360516715556,temporary grassland area,Mha,corrected (e)
324,AT2,Sud Austria,PG,1994,0.4495836581099061,permanent grassland area,Mha,EuropeAgri
325,AT2,Sud Austria,C_sum,1995,0.6698367803298992,crop area sum,Mha,calculated
326,AT2,Sud Austria,AL_sum,1995,0.2075573506653543,arable land area sum,Mha,calculated
