,region,region name,year,symbol,label,unit,value
367,BG,Bulgaria,1993,urb_typ,urban typology,no unit,
368,BG,Bulgaria,1994,typ,metabolic typology,no unit,SCS
369,BG,Bulgaria,1994,urb_typ,urban typology,no unit,
370,BG,Bulgaria,1995,typ,metabolic typology,no unit,SCS
371,BG,Bulgaria,1995,urb_typ,urban typology,no unit,
372,BG,Bulgaria,1996,typ,metabolic typology,no unit,MXG
373,BG,Bulgaria,1996,urb_typ,urban typology,no unit,
374,BG,Bulgaria,1997,typ,metabolic typology,no unit,SCS
375,BG,Bulgaria,1997,urb_typ,urban typology,no unit,
376,BG,Bulgaria,1998,typ,metabolic typology,no unit,SCS
377,BG,Bulgaria,1998,urb_typ,urban typology,no unit,
378,BG,Bulgaria,1999,typ,metabolic typology,no unit,SCS
379,BG,Bulgaria,1999,urb_typ,urban typology,no unit,
380,BG,Bulgaria,2000,typ,metabolic typology,no unit,SCS
381,BG,Bulgaria,2000,urb_typ,urban typology,no unit,
382,BG,Bulgaria,2001,typ,metabolic typology,no unit,SCS
383,BG,Bulgaria,2001,urb_typ,urban typology,no unit,
384,BG,Bulgaria,2002,typ,metabolic typology,no unit,SCS
385,BG,Bulgaria,2002,urb_typ,urban typology,no unit,
386,BG,Bulgaria,2003,typ,metabolic typology,no unit,MXG
387,BG,Bulgaria,2003,urb_typ,urban typology,no unit,
388,BG,Bulgaria,2004,typ,metabolic typology,no unit,SCS
389,BG,Bulgaria,2004,urb_typ,urban typology,no unit,
390,BG,Bulgaria,2005,typ,metabolic typology,no unit,MXG
391,BG,Bulgaria,2005,urb_typ,urban typology,no unit,
392,BG,Bulgaria,2006,typ,metabolic typology,no unit,SCS
393,BG,Bulgaria,2006,urb_typ,urban typology,no unit,
394,BG,Bulgaria,2007,typ,metabolic typology,no unit,MXG
395,BG,Bulgaria,2007,urb_typ,urban typology,no unit,
396,BG,Bulgaria,2008,typ,metabolic typology,no unit,SCS
397,BG,Bulgaria,2008,urb_typ,urban typology,no unit,
398,BG,Bulgaria,2009,typ,metabolic typology,no unit,SCS
399,BG,Bulgaria,2009,urb_typ,urban typology,no unit,
400,BG,Bulgaria,2010,typ,metabolic typology,no unit,SCS
401,BG,Bulgaria,2010,urb_typ,urban typology,no unit,
402,BG,Bulgaria,2011,typ,metabolic typology,no unit,SCS
403,BG,Bulgaria,2011,urb_typ,urban typology,no unit,
404,BG,Bulgaria,2012,typ,metabolic typology,no unit,SCS
405,BG,Bulgaria,2012,urb_typ,urban typology,no unit,
406,BG,Bulgaria,2013,typ,metabolic typology,no unit,SCS
407,BG,Bulgaria,2013,urb_typ,urban typology,no unit,
408,BG,Bulgaria,2014,typ,metabolic typology,no unit,SCS
409,BG,Bulgaria,2014,urb_typ,urban typology,no unit,
410,BG,Bulgaria,2015,typ,metabolic typology,no unit,SCS
411,BG,Bulgaria,2015,urb_typ,urban typology,no unit,
412,BG,Bulgaria,2016,typ,metabolic typology,no unit,SCS
413,BG,Bulgaria,2016,urb_typ,urban typology,no unit,
414,BG,Bulgaria,2017,typ,metabolic typology,no unit,SCS
415,BG,Bulgaria,2017,urb_typ,urban typology,no unit,
416,BG,Bulgaria,2018,typ,metabolic typology,no unit,SCS
417,BG,Bulgaria,2018,urb_typ,urban typology,no unit,
418,BG,Bulgaria,2019,typ,metabolic typology,no unit,SCS
419,BG,Bulgaria,2019,urb_typ,urban typology,no unit,
420,CH,Schweiz,1990,typ,metabolic typology,no unit,LVK
421,CH,Schweiz,1990,urb_typ,urban typology,no unit,
422,CH,Schweiz,1991,typ,metabolic typology,no unit,LVK
423,CH,Schweiz,1991,urb_typ,urban typology,no unit,
424,CH,Schweiz,1992,typ,metabolic typology,no unit,LVK
425,CH,Schweiz,1992,urb_typ,urban typology,no unit,
426,CH,Schweiz,1993,typ,metabolic typology,no unit,LVK
427,CH,Schweiz,1993,urb_typ,urban typology,no unit,
428,CH,Schweiz,1994,typ,metabolic typology,no unit,LVK
429,CH,Schweiz,1994,urb_typ,urban typology,no unit,
430,CH,Schweiz,1995,typ,metabolic typology,no unit,LVK
431,CH,Schweiz,1995,urb_typ,urban typology,no unit,
432,CH,Schweiz,1996,typ,metabolic typology,no unit,LVK
433,CH,Schweiz,1996,urb_typ,urban typology,no unit,
434,CH,Schweiz,1997,typ,metabolic typology,no unit,LVK
435,CH,Schweiz,1997,urb_typ,urban typology,no unit,
436,CH,Schweiz,1998,typ,metabolic typology,no unit,LVK
437,CH,Schweiz,1998,urb_typ,urban typology,no unit,
438,CH,Schweiz,1999,typ,metabolic typology,no unit,LVK
439,CH,Schweiz,1999,urb_typ,urban typology,no unit,
440,CH,Schweiz,2000,typ,metabolic typology,no unit,LVK
441,CH,Schweiz,2000,urb_typ,urban typology,no unit,
442,CH,Schweiz,2001,typ,metabolic typology,no unit,LVK
443,CH,Schweiz,2001,urb_typ,urban typology,no unit,
444,CH,Schweiz,2002,typ,metabolic typology,no unit,LVK
445,CH,Schweiz,2002,urb_typ,urban typology,no unit,
446,CH,Schweiz,2003,typ,metabolic typology,no unit,LVK
447,CH,Schweiz,2003,urb_typ,urban typology,no unit,
448,CH,Schweiz,2004,typ,metabolic typology,no unit,LVK
449,CH,Schweiz,2004,urb_typ,urban typology,no unit,
450,CH,Schweiz,2005,typ,metabolic typology,no unit,LVK
451,CH,Schweiz,2005,urb_typ,urban typology,no unit,
452,CH,Schweiz,2006,typ,metabolic typology,no unit,LVK
453,CH,Schweiz,2006,urb_typ,urban typology,no unit,
454,CH,Schweiz,2007,typ,metabolic typology,no unit,LVK
455,CH,Schweiz,2007,urb_typ,urban typology,no unit,
456,CH,Schweiz,2008,typ,metabolic typology,no unit,LVK
457,CH,Schweiz,2008,urb_typ,urban typology,no unit,
458,CH,Schweiz,2009,typ,metabolic typology,no unit,LVK
459,CH,Schweiz,2009,urb_typ,urban typology,no unit,
460,CH,Schweiz,2010,typ,metabolic typology,no unit,LVK
461,CH,Schweiz,2010,urb_typ,urban typology,no unit,
462,CH,Schweiz,2011,typ,metabolic typology,no unit,LVK
463,CH,Schweiz,2011,urb_typ,urban typology,no unit,
464,CH,Schweiz,2012,typ,metabolic typology,no unit,LVK
465,CH,Schweiz,2012,urb_typ,urban typology,no unit,
466,CH,Schweiz,2013,typ,metabolic typology,no unit,LVK
467,CH,Schweiz,2013,urb_typ,urban typology,no unit,
468,CH,Schweiz,2014,typ,metabolic typology,no unit,LVK
469,CH,Schweiz,2014,urb_typ,urban typology,no unit,
470,CH,Schweiz,2015,typ,metabolic typology,no unit,LVK
471,CH,Schweiz,2015,urb_typ,urban typology,no unit,
472,CH,Schweiz,2016,typ,metabolic typology,no unit,LVK
473,CH,Schweiz,2016,urb_typ,urban typology,no unit,
474,CH,Schweiz,2017,typ,metabolic typology,no unit,LVK
475,CH,Schweiz,2017,urb_typ,urban typology,no unit,
476,CH,Schweiz,2018,typ,metabolic typology,no unit,LVK
477,CH,Schweiz,2018,urb_typ,urban typology,no unit,
478,CH,Schweiz,2019,typ,metabolic typology,no unit,LVK
479,CH,Schweiz,2019,urb_typ,urban typology,no unit,
480,CY,Cyprus,1990,typ,metabolic typology,no unit,DSG
481,CY,Cyprus,1990,urb_typ,urban typology,no unit,
482,CY,Cyprus,1991,typ,metabolic typology,no unit,DSG
483,CY,Cyprus,1991,urb_typ,urban typology,no unit,
484,CY,Cyprus,1992,typ,metabolic typology,no unit,DSG
485,CY,Cyprus,1992,urb_typ,urban typology,no unit,
486,CY,Cyprus,1993,typ,metabolic typology,no unit,DSG
487,CY,Cyprus,1993,urb_typ,urban typology,no unit,
488,CY,Cyprus,1994,typ,metabolic typology,no unit,DSG
489,CY,Cyprus,1994,urb_typ,urban typology,no unit,
490,CY,Cyprus,1995,typ,metabolic typology,no unit,DSG
491,CY,Cyprus,1995,urb_typ,urban typology,no unit,
492,CY,Cyprus,1996,typ,metabolic typology,no unit,DSG
493,CY,Cyprus,1996,urb_typ,urban typology,no unit,
494,CY,Cyprus,1997,typ,metabolic typology,no unit,DSG
495,CY,Cyprus,1997,urb_typ,urban typology,no unit,
496,CY,Cyprus,1998,typ,metabolic typology,no unit,DSG
497,CY,Cyprus,1998,urb_typ,urban typology,no unit,
498,CY,Cyprus,1999,typ,metabolic typology,no unit,DSG
499,CY,Cyprus,1999,urb_typ,urban typology,no unit,
