Domain Code;Domain;region;Area;Element Code;Element;Item Code (CPC);Item;Year Code;Year;Unit;Value;Flag;Flag Description;Note
QCL;Crops and livestock products;MK;North Macedonia;5510;Production;231;Hen eggs in shell, fresh;1998;1998;t;21500;A;Official figure;
QCL;Crops and livestock products;MK;North Macedonia;5513;Production;231;Hen eggs in shell, fresh;1998;1998;1000 No;471000;A;Official figure;
QCL;Crops and livestock products;MK;North Macedonia;5510;Production;231;Hen eggs in shell, fresh;1999;1999;t;20900;E;Estimated value;
QCL;Crops and livestock products;MK;North Macedonia;5513;Production;231;Hen eggs in shell, fresh;1999;1999;1000 No;445000;A;Official figure;
QCL;Crops and livestock products;MK;North Macedonia;5510;Production;231;Hen eggs in shell, fresh;2000;2000;t;25500;A;Official figure;
QCL;Crops and livestock products;MK;North Macedonia;5513;Production;231;Hen eggs in shell, fresh;2000;2000;1000 No;452500;A;Official figure;
QCL;Crops and livestock products;MK;North Macedonia;5510;Production;231;Hen eggs in shell, fresh;2001;2001;t;22200;A;Official figure;
QCL;Crops and livestock products;MK;North Macedonia;5513;Production;231;Hen eggs in shell, fresh;2001;2001;1000 No;395000;A;Official figure;
QCL;Crops and livestock products;MK;North Macedonia;5510;Production;231;Hen eggs in shell, fresh;2002;2002;t;19400;A;Official figure;
QCL;Crops and livestock products;MK;North Macedonia;5513;Production;231;Hen eggs in shell, fresh;2002;2002;1000 No;345030;A;Official figure;
QCL;Crops and livestock products;MK;North Macedonia;5510;Production;231;Hen eggs in shell, fresh;2003;2003;t;15500;A;Official figure;
QCL;Crops and livestock products;MK;North Macedonia;5513;Production;231;Hen eggs in shell, fresh;2003;2003;1000 No;276800;A;Official figure;
QCL;Crops and livestock products;MK;North Macedonia;5510;Production;231;Hen eggs in shell, fresh;2004;2004;t;18700;A;Official figure;
QCL;Crops and livestock products;MK;North Macedonia;5513;Production;231;Hen eggs in shell, fresh;2004;2004;1000 No;334000;A;Official figure;
QCL;Crops and livestock products;MK;North Macedonia;5510;Production;231;Hen eggs in shell, fresh;2005;2005;t;19020;E;Estimated value;
QCL;Crops and livestock products;MK;North Macedonia;5513;Production;231;Hen eggs in shell, fresh;2005;2005;1000 No;339669;A;Official figure;
QCL;Crops and livestock products;MK;North Macedonia;5510;Production;231;Hen eggs in shell, fresh;2006;2006;t;18510;E;Estimated value;
